time,click
2018/3/3 0:00,3
2018/3/3 1:00,3
2018/3/3 2:00,2
2018/3/3 3:00,2
2018/3/3 4:00,1
2018/3/3 5:00,1
2018/3/3 6:00,2
2018/3/3 7:00,5
2018/3/3 8:00,8
2018/3/3 9:00,15
2018/3/3 10:00,22
2018/3/3 11:00,25
2018/3/3 12:00,16
2018/3/3 13:00,21
2018/3/3 14:00,29
2018/3/3 15:00,25
2018/3/3 16:00,23
2018/3/3 17:00,17
2018/3/3 18:00,17
2018/3/3 19:00,15
2018/3/3 20:00,14
2018/3/3 21:00,12
2018/3/3 22:00,9
2018/3/3 23:00,5
2018/3/4 0:00,3
2018/3/4 1:00,2
2018/3/4 2:00,1
2018/3/4 3:00,1
2018/3/4 4:00,1
2018/3/4 5:00,1
2018/3/4 6:00,1
2018/3/4 7:00,3
2018/3/4 8:00,7
2018/3/4 9:00,11
2018/3/4 10:00,16
2018/3/4 11:00,18
2018/3/4 12:00,8
2018/3/4 13:00,15
2018/3/4 14:00,21
2018/3/4 15:00,19
2018/3/4 16:00,14
2018/3/4 17:00,10
2018/3/4 18:00,8
2018/3/4 19:00,9
2018/3/4 20:00,9
2018/3/4 21:00,7
2018/3/4 22:00,8
2018/3/4 23:00,4
2018/3/5 0:00,2
2018/3/5 1:00,1
2018/3/5 2:00,1
2018/3/5 3:00,0
2018/3/5 4:00,1
2018/3/5 5:00,1
2018/3/5 6:00,1
2018/3/5 7:00,3
2018/3/5 8:00,5
2018/3/5 9:00,9
2018/3/5 10:00,14
2018/3/5 11:00,17
2018/3/5 12:00,7
2018/3/5 13:00,13
2018/3/5 14:00,16
2018/3/5 15:00,17
2018/3/5 16:00,12
2018/3/5 17:00,10
2018/3/5 18:00,8
2018/3/5 19:00,8
2018/3/5 20:00,9
2018/3/5 21:00,9
2018/3/5 22:00,7
2018/3/5 23:00,3
2018/3/6 0:00,2
2018/3/6 1:00,1
2018/3/6 2:00,0
2018/3/6 3:00,1
2018/3/6 4:00,1
2018/3/6 5:00,0
2018/3/6 6:00,1
2018/3/6 7:00,2
2018/3/6 8:00,5
2018/3/6 9:00,8
2018/3/6 10:00,11
2018/3/6 11:00,13
2018/3/6 12:00,6
2018/3/6 13:00,13
2018/3/6 14:00,13
2018/3/6 15:00,16
2018/3/6 16:00,11
2018/3/6 17:00,9
2018/3/6 18:00,7
2018/3/6 19:00,7
