data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
3,0,0,5,4,5,5.192005493,4.536997481,4.763780284,6.499645234,-1.858145999,4.145840499,3.194,0.322,1.23
3,0,0,5,4,4,3.230447442,0.562136538,0.679032264,5.775109742,-1.473796248,2.941092758,2.714,0.46,0.926
2,1,0,5,4,5,3.236670038,0.708054859,0.670054194,5.990779225,-0.412513415,2.195347036,1.756,0.982,0.762
2,2,0,5,4,5,2.303367095,1.825467143,0.778383254,6.21401317,1.248360203,1.948700406,1.684,2.018,0.566
1,2,0,5,4,5,2.412314009,2.753278458,0.896889005,5.834302053,3.050772814,2.008581365,1.128,2.092,0.514
1,4,2,5,4,4,1.381015484,2.678094525,1.013822727,5.257548602,4.387707654,2.215683282,1.182,4.212,1.514
2,4,2,5,4,5,1.489715412,4.964498618,2.690794548,5.524659196,4.88800906,2.659148811,2.158,4.124,1.752
5,5,2,5,4,5,2.243750857,4.545465213,3.08214813,7.226392001,4.652893127,3.596133028,4.97,4.938,1.946
8,4,4,5,4,5,4.839985603,5.802340958,3.100600642,9.809198685,4.157667875,5.128974204,7.846,4.072,3.888
15,3,7,5,4,5,7.569623746,4.553226591,4.636991057,11.99011563,3.906330095,6.959456394,14.96,3.166,6.724
22,3,15,5,4,4,14.17486816,3.887439122,7.214331368,12.89460997,4.116133865,8.497483991,21.438,3.328,14.05
25,4,14,5,4,5,20.55243973,3.997919559,13.83287431,12.80377969,4.654248684,9.273961084,24.366,4.006,13.366
16,4,16,5,4,5,24.22608233,4.856809613,14.12341034,12.77791513,5.21712737,9.305339783,15.924,4.098,15.47
21,5,14,5,4,5,17.97304105,4.516293191,15.16073412,13.53690057,5.555613677,9.07802714,20.576,4.774,13.59
29,5,14,5,4,5,22.77721596,5.454064989,13.4140963,14.71458047,5.563826127,9.15550222,28.516,4.88,13.92
25,5,16,5,4,5,26.11058712,5.067704962,12.56753192,15.22795416,5.221652359,9.747080833,25.486,5,15.456
23,5,12,5,4,5,21.02247842,5.019723121,13.75940007,14.38699933,4.521443377,10.59961932,22.702,4.826,11.656
17,4,10,5,5,4,19.79099983,4.880835187,10.62656507,12.629367,3.485186421,11.26800559,17.11,3.878,9.99
17,2,13,5,4,5,14.36102974,3.79401179,8.288994183,11.13662463,2.237909045,11.48352383,16.838,2.22,12.908
15,2,14,5,4,5,14.5399854,1.985587214,10.09810081,10.70426221,1.014457022,11.28647732,14.574,1.922,13.612
14,1,15,5,4,5,12.06909407,2.317649055,11.38017269,10.98390669,0.043593417,10.8512788,14.248,1,14.552
12,0,10,5,4,5,11.59923992,1.171473031,12.32416078,10.84923588,-0.596725493,10.23544612,11.748,0.436,10.028
9,1,10,5,4,4,10.25284282,0.459264017,8.618253698,9.523334224,-0.997191325,9.330420985,8.714,0.74,10.142
5,1,11,5,4,5,8.425728573,1.601289551,7.69518972,7.354496788,-1.263580785,8.053064551,4.708,0.628,10.428
3,0,7,5,4,5,5.465329471,1.369009297,8.498753825,5.484886422,-1.330716993,6.550879733,2.884,0.332,6.53
2,2,2,5,4,5,3.573822401,0.588446295,5.571591753,4.760350931,-0.946367242,5.177972254,2.04,1.222,2.146
1,1,2,5,4,4,1.75426314,2.852347956,1.27107625,4.976020414,0.114915591,4.244937436,1.178,1.032,1.706
1,2,2,5,4,5,0.081804663,1.49126415,0.55048867,5.19925436,1.77578921,3.793575758,1.03,1.908,1.414
1,3,1,5,4,5,-0.245870545,2.998128877,0.908860082,4.819543243,3.578201822,3.633193123,1.116,3.07,0.97
1,4,1,5,5,5,-0.019679785,3.755668009,0.456298033,4.242789793,4.915136662,3.606513527,1.17,3.99,0.976
1,5,1,5,4,5,0.86112324,4.704870995,0.757038202,4.509900388,5.415438068,3.804840964,1.44,5.066,1.14
3,5,3,5,4,4,1.936352983,5.578925116,0.980585059,6.211633193,5.180322135,4.487598602,3.174,4.784,2.874
7,4,4,5,4,4.5,4.400136155,5.48302598,2.881352249,8.794439876,4.685096883,5.75947441,6.978,4.072,4.002
11,3,8,5,4,5,7.884014754,4.633039293,4.099398364,10.97535682,4.433759102,7.324657744,10.514,3.47,7.702
16,4,10,5,4,4,11.17378775,3.906011619,7.566548732,11.87985116,4.643562872,8.595487315,15.444,4.238,9.508
18,4,9,5,4,4,15.47971228,4.968419604,9.691348506,11.78902088,5.181677691,9.105303723,18.206,4.076,8.79
