trend,per,,
2.499539728,-2.499539728,0.94427948,7.117325566
2.516664956,-2.516664956,,
2.533787685,-1.533787685,,
2.550902897,-0.550902897,,
2.568004044,-0.568004044,,
2.585084025,1.414915975,,
2.60213517,1.39786483,,
2.619151225,2.380848775,,
2.636127335,1.363872665,,
2.653061023,0.346938977,,
2.66995118,0.33004882,,
2.68679704,1.31320296,,
2.703598168,1.296401832,,
2.720355444,2.279644556,,
2.737071043,2.262928957,,
2.75374942,2.24625058,,
2.770397292,2.229602708,,
2.787023624,1.212976376,,
2.803639608,-0.803639608,,
2.820257653,-0.820257653,,
2.83688936,-1.83688936,,
2.853545512,-2.853545512,,
2.870235055,-1.870235055,,
2.886964082,-1.886964082,,
2.903736814,-2.903736814,,
2.920555587,-0.920555587,,
2.937419832,-1.937419832,,
2.954328059,-0.954328059,,
2.971276842,0.028723158,,
2.9882618,1.0117382,,
3.005278581,1.994721419,,
3.022323845,1.977676155,,
3.039396244,0.960603756,,
3.056496412,-0.056496412,,
3.073625941,0.926374059,,
3.090786367,0.909213633,,
3.107980151,0.892019849,,
3.125210667,1.874789333,,
3.142482177,1.857517823,,
3.159800819,1.840199181,,
3.177174591,1.822825409,,
3.194613327,0.805386673,,
3.212128687,-0.212128687,,
3.229733135,-1.229733135,,
3.247438923,-2.247438923,,
3.265257073,-2.265257073,,
3.283196362,-3.283196362,,
3.301263298,-3.301263298,,
3.319461107,-3.319461107,,
3.337789717,-2.337789717,,
3.356245731,-1.356245731,,
3.374823418,-1.374823418,,
3.393515691,0.606484309,,
3.412314086,1.587685914,,
3.431210746,1.568789254,,
3.450199402,2.549800598,,
3.469275356,1.530724644,,
3.488436455,0.511563545,,
3.507682081,1.492317919,,
3.527012126,1.472987874,,
3.546427975,1.453572025,,
3.565932483,2.434067517,,
3.585529963,2.414470037,,
3.60522716,1.39477284,,
3.625033232,1.374966768,,
3.644958734,0.355041266,,
3.665015596,-0.665015596,,
3.685216101,-1.685216101,,
3.705571868,-2.705571868,,
3.726092833,-2.726092833,,
3.746786222,-2.746786222,,
3.767656539,-2.767656539,,
3.788705538,-3.788705538,,
3.809932209,-2.809932209,,
3.831331749,-1.831331749,,
3.852896549,-0.852896549,,
3.874617166,0.125382834,,
3.896483305,2.103516695,,
3.918484797,3.081515203,,
3.940613575,2.059386425,,
3.962864655,1.037135345,,
3.985235112,1.014764888,,
4.007723058,1.992276942,,
4.030327619,1.969672381,,
4.053049915,1.946950085,,
4.075893033,1.924106967,,
4.098862011,2.901137989,,
4.121963807,0.878036193,,
4.145208282,0.854791718,,
4.168606176,-0.168606176,,
4.192169081,-1.192169081,,
4.215908424,-2.215908424,,
4.239834437,-3.239834437,,
4.263955136,-3.263955136,,
4.2882753,-4.2882753,,
4.312796441,-4.312796441,,
4.337515784,-3.337515784,,
4.362426242,-3.362426242,,
4.387517389,-2.387517389,,
4.412775437,-1.412775437,,
4.438184212,0.561815788,,
4.463726124,2.536273876,,
4.489384147,2.510615853,,
4.515143793,1.484856207,,
4.540993081,0.459006919,,
4.566921516,1.433078484,,
4.592919064,1.407080936,,
4.618977121,0.381022879,,
4.645088493,0.354911507,,
4.671246365,2.328753635,,
4.697444278,3.302555722,,
4.7236781,1.2763219,,
4.749947005,0.250052995,,
4.77625144,0.22374856,,
4.802592103,-0.802592103,,
4.828969916,-1.828969916,,
4.855384999,-3.855384999,,
4.881835643,-3.881835643,,
4.908316282,-3.908316282,,
4.934817469,-3.934817469,,
4.96132585,-3.96132585,,
4.987824134,-3.987824134,,
5.01429107,-3.01429107,,
5.04070142,-2.04070142,,
5.06702693,-0.06702693,,
5.093237306,1.906762694,,
5.119302186,1.880697814,,
5.145193117,-0.145193117,,
5.170883525,2.829116475,,
5.19634669,2.80365331,,
5.221558724,3.778441276,,
5.246498541,2.753501459,,
5.271148832,2.728851168,,
5.295495044,2.704504956,,
5.319525351,2.680474649,,
5.343230632,2.656769368,,
5.366604449,0.633395551,,
5.389643016,0.610356984,,
5.412343183,-0.412343183,,
5.434702412,-1.434702412,,
5.45671775,-3.45671775,,
5.47838481,-3.47838481,,
5.499695748,-4.499695748,,
5.520639244,-4.520639244,,
5.541199474,-5.541199474,,
5.561356097,-4.561356097,,
5.58108323,-3.58108323,,
5.600350428,-1.600350428,,
5.619123665,2.380876335,,
5.637367314,3.362632686,,
5.65504813,3.34495187,,
5.672136232,1.327863768,,
5.68860508,3.31139492,,
5.704429465,3.295570535,,
5.719587488,5.280412512,,
5.734060547,3.265939453,,
5.747835319,4.252164681,,
5.760901748,5.239098252,,
5.773254028,8.226745972,,
5.784891596,2.215108404,,
